Name of the workshop,Place,City/District,State,Region,Name of the Workshop Owner,Contact Number,Address,Pincode,
M/s. Ashok Auto (Chetty),"Tinplate, Baridi.",Jamshedpur,Jharkhand,East,D.V. Chetty,9835176892,"Shop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
JamshedpurShop No-3
New Kali Mandir
Tinplate Golmuri
Jamshedpur",831003,
M/s. Ashraf Automobile,"Masjid Chowk, Golmuri",Jamshedpur,Jharkhand,East,Ashraf Ali,8987441310,"New Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
JamshedpurNew Development Area
Near Masjid Chowk Golmuri
Post-Golmuri
Jamshedpur",831003,
M/s. Alam Motors,"Rice Market, Golmuri",Jamshedpur,Jharkhand,East,Alam Ansari,9835566049,"Modi Market, Golmuri",831003,
Bapi Motor,Chota Gobindpur,Jamshedpur,Jharkhand,East,,9835188719,"Near Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
JamshedpurNear Chandni Chowk Chhota Govindpur
Post-Chhota Govindpur
Jamshedpur",831015,
Suraj Cycle,Baridih Market,Jamshedpur,Jharkhand,East,,9204930773,"Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
Purani line,Baridih Market, Baridhi 
",831017,
Unique Car Reparing,Agrico Chowk Signal,Jamshedpur,Jharkhand,East,,9852712860,"Agrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
JamshedpurAgrico Signal Light
Post-Agrico
Jamshedpur",831009,
M/s Jharkhand Garage,Karandih Main Road,Jamshedpur,Jharkhand,East,,9973509698,"Gaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
JamshedpurGaintadih, Main Road Karandih
Post- Karandih
Jamshedpur",831002,
Star Automobile,Golmuri,Jamshedpur,Jharkhand,East,,8757898686,"Modi Market, Golmuri",831003,
Saffique Garage,Golmuri,Jamshedpur,Jharkhand,East,,9835348155,"New Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
JamshedpurNew Development Area
Near Masjid Chowk
Post -Golmuri
Jamshedpur",831003,
Riyaz Garage,Sakchi,Jamshedpur,Jharkhand,East,,9199779955,"117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur117A, New Baradwari, Sakchi
Post- New Baradwari
Jamshedpur",831001,
Bablu Garage,Saraikella,Jamshedpur,Jharkhand,East,,9931334648,"Garage Chowk, Saraikela",833219,
Automotive Car Care,Mango,Jamshedpur,Jharkhand,East,,9905572030,"Old Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, MangoOld Purulia Road 
Near Chankyapuri, Mango",831012,
Ankita Auto,Behragora,Jamshedpur,Jharkhand,East,,8709169421,"Rajlabandh Main Road, Behragora",832101,
Pintu Garage,Mango,Jamshedpur,Jharkhand,East,,9835176200,"Near Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango JamshedpurNear Awadh Dental College
NH-33, Danga
Post- Baliguma, Mango Jamshedpur",831018,
Sai Auto Workshop,"Samantrapur, Near Axis Bank",BHUBANESHWAR,Odisha,East,Hemant Kumar Sahoo,9861464286,"NH-33, Danga",751002,
G.J. Motors,"Bhubaneswar, Orissa",Bhubaneswar,Odisha,East,,7504391573,"Post- Baliguma, Mango Jamshedpur",751003,
F.M. Auto Service,"N-5/19, IRC Village, Nayapalli",Bhubaneswar,Odisha,East,Fazal Rehman,9853444341,"N-5/19 Irc village, Nayapalli, BBSR,Dist :Khurda, Odisha",751015,
Hullas Automobile,"Unit 9 Flat, Anandabazar",Bhubaneswar,Odisha,East,Hulas Kumar Senapoty,9937719334,"Unit-9 Bhoi Nagar,near ananda bazar, BBSR,Dist :Khurda, Odisha",751022,
Parida Auto,"Louis Rd., Mahabir Bazar",Bhubaneswar,Odisha,East,Dilip Kumar Parida,9938165782,"Mahavir Bazar ,Samantarapur, BBSR,Dist :- Khurda, Odisha",751002,
Sabir Auto Workshop,"NH-6, Near Allahabad Bank",Bhubaneswar,Odisha,East,MD. Sabir,9777034966,"N-6/431,Near Crown hotel ,Nayapalli, BBSR,Dist :Khurda, Odisha",751015,
Maa Tarini Workshop,Louis Road,Bhubaneswar,Odisha,East,Jagannath Sahoo,7873522476,"Plot No- 344, Lewis Road,BBSR, Dist :Khurda,Odisha",751014,
Baba Biswakarma Automobile Works,SBI Road,Keonjhar,Odisha,East,Ajay Biswakarma,9937881517,"Ward No:-13, House No:- 132,SBI Road, Town Thana Chak, Keonjhar Town, Dist:- Keonjhar, Odisha",,
M/S. ABU Auto Centre,Buxibazar,Cuttack,Odisha,East,,9438438573,"Cantonment road, Cuttack Dist Cuttack, Odisha",743001,
M/S. KGN Auto,Chhatia,Jajpur,Odisha,East,,9853393149,"At. Chhatia Dist Jajpur, Odisha",754023,
M/S. Kulamani Garage,Chandikhole,Jajpur,Odisha,East,,9938464746,"Mahaveer Market Complex, Chandikhole, Dist Jajpur",754296,
M/S. Mahaveer Wrokshop,Charampa,Bhadrak,Odisha,East,,9937819837,"At. Charampa, Dist Bhadrak, Odisha",756101,
M/S. Rash Engineering,Chandikhole,Jajpur,Odisha,East,,9861131870,"Mahaveer Market Complex, Chandikhole, Dist Jajpur, Odisha",754296,
M/s. Anil Auto Workshop,Jajpur Road,Jajpur,Odisha,East,Mr. Anil Agarwal,9237520900,"ByPass Road, Jajpur Road, Dist jajpur, Odisha",755019,
TATA Engineering Workshop,Chandikhole,Jajpur,Odisha,East,Mr. Dharani Dhar Maharana,9437119797,"Mahaveer Market Complex, Chandikhole, Dist Jajpur, Odisha",754296,
M/S. Sapunu Auto Workshop,Charampa,Bhadrak,Odisha,East,Sk. Safiruddin,7008181248,"At. Charampa, Dist Bhadrak, Odisha",756101,
M/S. Jagannath Atuo Garage,Duburi Chowk,Jajpur,Odisha,East,Mr. Himanshu Sekhar Sahoo,9437403933,"At Duburi, Dist Japur",755026,
M/S. Maa Auto Garage,Kuakhia,Cuttack,Odisha,East,,9938361140,"At. Rasulpur, Kukhia, Dist Jajpur, Odisha",755009,
M/S. Namdev Garage,Chandikhole,Jajpur,Odisha,East,,9668750710,"At. Chandikhole, Dist Jajpur, Odisha",754296,
M/S. Baral Tractor Garage,Narsinghpur,Cuttack,Odisha,East,,9938559603,"At. Narsnignpur, Dist Cuttack, Odisha",754032,
M/S. Samal Tractor Garage,Manguli,Cuttack,Odisha,East,,9090445351,"At. NH16, Manguli, Dist Cuttack, Odisha",754025,
M/S. P. P. MOTORS,,Keonjhar,Odisha,East,,9437206146,"Sailang Chak, Ghasipura, Anandapur, Dist:-Keonjhar, Odisha",758015,
M/S. SHAKTI AUTO CARE,Telcoi,Keonjhar,Odisha,East,,9668322292,At/po Telkoi Dist- keonjhar,758019,
M/S. Sahoo Auto Parts,Ramchandrapur,Keonjhar,Odisha,East,,9583158864,At/po - Ramchandrapur Dist- Keonjhar,758043,
M/S. Nooman Auto Parts,Raisuan,Keonjhar,Odisha,East,,8908803974,At/Po - Raisuan Dist- Keonjhar,758013,
M/s. M.B. Auto Workshop,Charampa,Bhadrak,Odisha,East,,9437384965,"At. Charampa, Dist Bahdrak, Odisha",756101,
Ganesh Garage,Charampa,Bhadrak,Odisha,East,,9853133621,"At. Charampa, Dist Bahdrak, Odisha",756101,
Alli Auto Repairing Workshop,Kuakhia,Jajpur,Odisha,East,,9938607151,"At. Rasulpur, Kukhia, Dist Jajpur, Odisha",755009,
Dada Garage,,Jajpur,Odisha,East,,9861194636,"Bank Street Jajpur Road, Dist Jajpur, Odisha",755019,
Bharat Motor Garage,Chandikhole,Jajpur,Odisha,East,,9437940486,"At. Chandikhole, Dist Jajpur, Odisha",754296,
M/S Maa Tarini Auto Workshop (PCMO),Chandikhole,Jajpur,Odisha,East,,9777116788,"At. Chandikhole, Dist Jajpur, Odisha",754296,
M/S HATESWARI ENGINE WORKSHOP (HCV),Chadhaidhara,Jajpur,Odisha,East,,7735076224,"Chadhaidhara Talla Chhak, Dist Jajpur, Odisha",755019,
MMD Motor Garage,Chandikhole,Jajpur,Odisha,East,,9861261109,"Mahaveer Market Complex, Chandikhole, Dist Jajpur, Odisha",754296,
Bimal Garage,Chandikhole,Jajpur,Odisha,East,,9437250129,"At. Chandikhole, Dist Jajpur, Odisha",754296,
M/S. Ma Durga Servicing Centre,Krishnanagar,Agartala,Tripura,East,,9774548221,"BARJALA, AGARTALA, TRIPURA.",799002,
M/s Ma Mechanical Works,Moharpur Road,Agartala,Tripura,East,,9856146200,"MOHANPUR ROAD, AGARTALA, TRIPURA.",799012,
M/s Ram Thakur Servicing Centre,"Morchumuni, College Road",Agartala,Tripura,East,,9856463897,"MOTHCHOWMOHONI, COLLEGE ROAD, AGARTALA, TRIPURA.",799001,
M/S. Standard Automobiles,Ranibazar,Agartala,Tripura,East,,9856241302,"RANIRBAZAR, TRIPURA.",799035,
M/s Chowdhury Auto Spares,Udaypur,Agartala,Tripura,East,,9862164105,"CENTRAL ROAD, UDAIPUR, TRIPURA.",799120,
M/s Gita Rani Servicing Centre,Jirania,Agartala,Tripura,East,,9774672572,"SANTIHATHI BAZAR, JIRANIA (KHOLA). TRIPURA.",799045,
M/s Roy Mechanical Works,Shal Bagan,Agartala,Tripura,East,,9863306607,"SHALBAGAN, AGARTALA, TRIPURA.",799012,
M/S. Biswakarma Service Centre,"Madhab Bari, Jirania",Agartala,Tripura,East,,9774888945,"MADHAB BARI, JIRANIA, TRIPURA.",799045,
M/S. Avijit Auto Engg. Works,Jirania,Agartala,Tripura,East,,9774213063,"EAST THANA ROAD, AGARTALA, TRIPURA.",799001,
M/S. Gita Serving Centre,Bodh Jung nagar Rd.,Agartala,Tripura,East,,9862451154,"BODHJUNGNAGAR ROAD, KHAYERPUR, AGARTALA, TRIPURA.",799008,
M/S. Debarati Bike Servicing Centre,Jirania,Agartala,Tripura,East,,9862661627,"NEAR RAIL STATION, JIRANIA. Tripura.",799045,
M/S. Laxmi Servicing Centre,Jirania,Agartala,Tripura,East,,9862803001,"BLOCK CHOWMOHANI, JIRANIA, TRIPURA.",799045,
M/S. Asha Servicing Centre,Jirania,Agartala,Tripura,East,,9862111229,"SANTIHATHI BAZAR, JIRANIA (KHOLA), TRIPURA.",799045,
M/s. Som Bike Servicing Point,Panitanki,Darjeeling,West Bengal,East,Trinath Singha,8967991598,"Panitanki, Panitanki, Darjeeling",734426,
M/s. M.G. Automobiles,Panitanki,Darjeeling,West Bengal,East,Bimal Mour,8016001208,"Panitanki, Panitanki, Darjeeling",734426,
M/s. Bhai Bhai Auto Works,Salbari,Siliguri,West Bengal,East,Harigopal Mondal,9832623703,"Salbari bazar,Salbari, Darjeeling",734009,
M/s. Bipul Motorcycle Works,Iskon Mandir Rd.,Siliguri,West Bengal,East,Bipul Paul,9832337542,"Iskon Mandir road, Siliguri, Darjeeling",734001,
BHOWMICK AUTO CENTRE,Mechogram,Midnapore,West Bengal,East,Partha Pratim Bhowmick,9153068440,"Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.Vill- Dakhin Mechogram, P.o- UttarMechogram, P.s- Panskura
Dist-East Midnapur.",721139,
NEW A.S. ENTERPRISE,Mechogram,Midnapore,West Bengal,East,Sujit Kandar,9932881187,"Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.Vill- Narayanda,P.o-Narayanda
P.s-Panskura,Dist-East Midnapur.",721152,
NIBEDITA AUTO CENTER,Mahishadal,Midnapore,West Bengal,East,MR. NIRUTTAM JANA,9564141873,"Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
Geokhali Rd, Po+P.s-Mahisadal, Dist- Eastmidnapur.
",721628,
Suraj Auto,Bonbihari Bose Lane,Howrah,West Bengal,East,Suraj Prasad Gupta,9831417589,"28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah28 BanBihari Bose Rd, 
Near -Jain School.
P.o- Howrah",711101,
GLORY AUTOMOBILE,"WEST GHOSH PARA ROAD, Shyamnagar",24 Parganas (N),West Bengal,East,Mukesh Jaiswal,9831422921,"17/1 West Ghosh Para Road, Shyamnagar, West Bengal",743133,
Bike Point,Ichapur,24 Parganas (N),West Bengal,East,,9143533176,"410 West Ghosh Para Lane, Ashoknagar, Ichapur",743144,
M/S. Auto Works,"Champasari Anchal, NB Rd.",Siliguri,West Bengal,East,,9832590001,"Champasari, Champasari, Darjeeling",734003,
M/S. Bike Service Point,"Satgachi, Dum Dum",Kolkata,West Bengal,East,,9051479652,"Panitanki, Panitanki, Darjeeling",734426,
Maa Auto Service,"Pursurah, Samanta Eoad",Hooghly,West Bengal,East,Abhijit Samanta,9732094078,"Samanta Road, Pursurah, Hooghly.",712401,
Sarada Auto,"Piyasara, Tarakeswar",Hooghly,West Bengal,East,Santulal Ghosh,9434566741,"Piyasara,Ayma paharpur, Hooghly.",712402,
Passion World,"Chowk Garia, Kol-94",Kolkata,West Bengal,East,,8336847991,"Mandal Garage More, Nagrakata",735225,
M/S. Car World,Mathurapur,24 Parganas (N),West Bengal,East,,9883930164,"Mathurapur, Ichapur, Kalyani Expressway",743127,
DIPALI AUTO,Chokgharupota,East Midnapore,West Bengal,East,Sankar Gantait,9733596744,"Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.Vill-Chokgharupota,P.o-Dobandi.
P.s-Tamluk,Dist-EastMidnapur.",721647,
Ashirbad Auto Centre,Talchinan,Hooghly,West Bengal,East,Keshab Ghosh,9679745432,"Talchinan, Puinan, Hooghly.",712305,
Noor Auto Centre,Boro Tajpur,Hooghly,West Bengal,East,Noor Mohammad Jamadar,9831872517,"Barotajpur, Lalbari, Chanditala, Hooghly.",712306,
Kalimata Auto Service,Masat Bazar,Hooghly,West Bengal,East,Naba Kumar Pal,9933741901,"Mosat, Opp- Punjab National Bank, Hooghly",712701,
Goutam Maruti Service Station,Bhadrakali,Hooghly,West Bengal,East,Goutam Biswas,9831453650,"203 B.B. Street, Bhadrakali, Hooghly.",712232,
Sanjoy Service Centre,Tarkeshwar,Hooghly,West Bengal,East,Sanjoy Khan,9432916409,"Padmapukur, Tarakeswar, Hooghly.",712410,
Khan Auto,Haripal,Hooghly,West Bengal,East,Torab Ali Khan,9434562175,"Gajar More, 26 No. Route, Hooghly.",712403,
Narayan Motorcycle Service Center,Pani Tanki,Siliguri,West Bengal,East,,9734088268,"Panitanki, Panitanki, Darjeeling",734426,
Rahamat Automobile,Bonhooghly,Nalgorahut,West Bengal,East,,9903421694,"Nalgorahat,Opp. Mita TVS, Garia, Kolkata",700103,
M/S. Varun Auto Centre,Kakinara,24 Parganas (N),West Bengal,East,,9903012929,"Kakinara, North 24 Parganas",743126,
M/s Uttarpara Auto Sales,Uttarpara,Hooghly,West Bengal,East,Joy Chatterjee,9830637499,"22/1 Netaji Subhas Road, Uttarpara, Hooghly.",712258,
Sanjay Garage,Tibatti More,Siliguri,West Bengal,East,,9434876838,"Tinbatti More,Asian High way, Jalpaiguri",734005,
Niranjan Auto,Banarhat,Jalpaiguri,West Bengal,East,,9733142827,"Opp.Satsang kendra, Banarhut, Jalpaiguri",735202,
Ratan Garage,Nagrakata,Siliguri,West Bengal,East,,9932155698,"Mandal Garage More, Nagrakata",735225,
AJANTA AUTO WORKS,Dongri,Mumbai,Maharashtra,West,Rajitram Prajapati,9324743345,"86,RAHIM CASTLE BLDG, NISHAN PADA ROAD, NEAR DELHI DARBAR RESTAURANT",400009,
SAI MOTORS,Seawoods,Navi Mumbai,Maharashtra,West,Rakesh Morya,9004355275,"SUNCITY HEIGHTS , SHOP NO.6, PLOT NO. 39/40, SECTOR-44/A, SEAWOODS (W)",400706,
MAHAVEER GARAGE,Ulhasnagar,Thane,Maharashtra,West,Ishu,9890404398,"Netaji Kurla Camp road, Opp. Mughdha Apartment",421004,
KUNAL AUTO GARAGE,Murbar,Thane,Maharashtra,West,Malhari,9422385947,"Near BP petrolium, Saragaon Road, Murbad",421401,
SHREE DATTAGURU AUTO GARAGE,Chavindra,Thane,Maharashtra,West,Gurunath,9860118366,"At: Chavindra,Po: Dandigarwadi, Ta: Bhivandi",421302,
MAA ASHAPURA MOTORS,Manpada,Thane,Maharashtra,West,Vasant Panchal,9821855161,"Gala No.3, Solkar Compound, Near Tikuji ni wadi",400607,
MORESHWAR MOTOR GARAGE,Lonere,Raigadh,Maharashtra,West,Nandkumar Pawar,9209208430,"At & Post: Lonere, Mumbai-Goa Highway",402104,
